Subject	Predicate	Object
https://round4.ng-london.org.uk/ex/lcd/Z5UV-M4D7-EP8E-14ZS	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://www.cidoc-crm.org/cidoc-crm/E73_Information_Object
https://round4.ng-london.org.uk/ex/lcd/Z5UV-M4D7-EP8E-14ZS	http://www.cidoc-crm.org/cidoc-crm/E73_refers_to	https://round4.ng-london.org.uk/ex/lcd/0EXM-0001-0000-0000
https://round4.ng-london.org.uk/ex/lcd/Z5UV-M4D7-EP8E-14ZS	http://www.cidoc-crm.org/cidoc-crm/E73_refers_to	https://round4.ng-london.org.uk/ex/lcd/17G5-5QQL-PJNU-TYZ6
https://round4.ng-london.org.uk/ex/lcd/Z5UV-M4D7-EP8E-14ZS	http://www.cidoc-crm.org/cidoc-crm/P165_incorporates	https://round4.ng-london.org.uk/ex/lcd/D0GZ-9TXB-1S8B-9IJS
https://round4.ng-london.org.uk/ex/lcd/D0GZ-9TXB-1S8B-9IJS	http://www.cidoc-crm.org/cidoc-crm/P2_has_type	http://www.cidoc-crm.org/cidoc-crm/E90_Symbolic_Object
