Literal value,Placeholder PID
https://rdf.ng-london.org.uk/raphael/resource/PE40,EXH8-KTV0-58BA-KJMA
title of https://rdf.ng-london.org.uk/raphael/resource/PE40,XO7X-2B4A-XUG8-YOBT
medium of https://rdf.ng-london.org.uk/raphael/resource/PE40,Y7LT-95AJ-8SIV-83FU
support material of https://rdf.ng-london.org.uk/raphael/resource/PE40,PITV-V5O1-FSG1-PONU
acquisition of https://rdf.ng-london.org.uk/raphael/resource/PE40,9URE-RL1B-OY4S-PWP0
production of https://rdf.ng-london.org.uk/raphael/resource/PE40,XM20-BI5X-9BN4-3Q9A
short title of https://rdf.ng-london.org.uk/raphael/resource/PE40,A2JU-8ND6-UY4N-49SI
width of https://rdf.ng-london.org.uk/raphael/resource/PE40,VREQ-FDYO-J7FA-B52A
height of https://rdf.ng-london.org.uk/raphael/resource/PE40,HAIY-HR4J-7S0L-FD4Z
https://rdf.ng-london.org.uk/raphael/resource/RRR_1943.4.33,L021-6FJE-RS1E-0FJC
title of https://rdf.ng-london.org.uk/raphael/resource/RRR_1943.4.33,UX71-JOEA-NC2B-GXDN
width of https://rdf.ng-london.org.uk/raphael/resource/RRR_1943.4.33,DY8H-6HPG-9BSI-40PH
medium of https://rdf.ng-london.org.uk/raphael/resource/RRR_1943.4.33,PSII-PW3E-1YOX-NV6T
production of https://rdf.ng-london.org.uk/raphael/resource/RRR_1943.4.33,DXAQ-5QI9-83R4-KVY8
support material of https://rdf.ng-london.org.uk/raphael/resource/RRR_1943.4.33,GOBD-7MXC-ASWA-WBYJ
height of https://rdf.ng-london.org.uk/raphael/resource/RRR_1943.4.33,6S7C-7MN0-KZU6-A3CJ
short title of https://rdf.ng-london.org.uk/raphael/resource/RRR_1943.4.33,KVHJ-FLRQ-MJMZ-POKU
acquisition of https://rdf.ng-london.org.uk/raphael/resource/RRR_1943.4.33,DQAU-JP1H-84JD-DGRW
height of https://rdf.ng-london.org.uk/raphael/resource/NG168,FT2C-97HN-R8GU-AQFW
width of https://rdf.ng-london.org.uk/raphael/resource/NG168,C7FX-QF64-31OM-2AOA
production of https://rdf.ng-london.org.uk/raphael/resource/NG168,SG08-31P2-YZMD-RKRK
short title of https://rdf.ng-london.org.uk/raphael/resource/NG168,M1Q4-D3AA-OJ70-NYQX
title of https://rdf.ng-london.org.uk/raphael/resource/NG168,PJBY-LSZH-IFCO-HB4K
acquisition of https://rdf.ng-london.org.uk/raphael/resource/NG168,3RHR-RBOM-RQ8O-8FO3
support material of https://rdf.ng-london.org.uk/raphael/resource/NG168,XLPM-97V5-H0J1-M9SN
medium of https://rdf.ng-london.org.uk/raphael/resource/NG168,GY7S-AO45-CGHQ-UK71
https://rdf.ng-london.org.uk/raphael/resource/PE38,Q0ZQ-NHP4-U9VN-D5R5
height of https://rdf.ng-london.org.uk/raphael/resource/PE38,QZSR-S9YZ-9CQL-J9YP
production of https://rdf.ng-london.org.uk/raphael/resource/PE38,ETIP-M6JR-80CN-I9S8
title of https://rdf.ng-london.org.uk/raphael/resource/PE38,03VY-MRVY-B476-AVIF
support material of https://rdf.ng-london.org.uk/raphael/resource/PE38,TR61-C6J1-TX1W-02KT
medium of https://rdf.ng-london.org.uk/raphael/resource/PE38,TBM0-3F31-BEY8-5IIO
acquisition of https://rdf.ng-london.org.uk/raphael/resource/PE38,PTR8-LM0W-T1H4-Y5SI
width of https://rdf.ng-london.org.uk/raphael/resource/PE38,GDDA-YJPW-RINU-TDHE
short title of https://rdf.ng-london.org.uk/raphael/resource/PE38,T1TD-RZTK-1IRQ-X6ZA
medium of https://rdf.ng-london.org.uk/raphael/resource/NG929,7KZQ-7C91-YTJL-445T
height of https://rdf.ng-london.org.uk/raphael/resource/NG929,JOK6-NFJ6-JDPQ-GEH4
production of https://rdf.ng-london.org.uk/raphael/resource/NG929,X5MI-HSIM-LR4V-Y6ZS
width of https://rdf.ng-london.org.uk/raphael/resource/NG929,6ZMF-DE18-W145-SF5C
support material of https://rdf.ng-london.org.uk/raphael/resource/NG929,V2J9-6V6J-80EE-V5F1
title of https://rdf.ng-london.org.uk/raphael/resource/NG929,D34N-DECO-Z0OQ-1BYH
acquisition of https://rdf.ng-london.org.uk/raphael/resource/NG929,4JAB-0XL8-GGZ8-TAFP
short title of https://rdf.ng-london.org.uk/raphael/resource/NG929,J28U-T9TI-S6C9-A4ZC
https://rdf.ng-london.org.uk/raphael/resource/M.1972.2.P,PJVU-6FCY-XSWS-TX7Z
width of https://rdf.ng-london.org.uk/raphael/resource/M.1972.2.P,V5PE-08F4-YHNR-VTRF
medium of https://rdf.ng-london.org.uk/raphael/resource/M.1972.2.P,HKCT-0XAP-APV7-YUJF
short title of https://rdf.ng-london.org.uk/raphael/resource/M.1972.2.P,RPY1-PO7R-5YDE-YPE2
title of https://rdf.ng-london.org.uk/raphael/resource/M.1972.2.P,F9RD-CIDO-MMVT-BSS1
acquisition of https://rdf.ng-london.org.uk/raphael/resource/M.1972.2.P,2010-7L0K-F0MV-SJ5E
height of https://rdf.ng-london.org.uk/raphael/resource/M.1972.2.P,H18B-R3XI-Q8GM-0AMQ
production of https://rdf.ng-london.org.uk/raphael/resource/M.1972.2.P,YR6I-72GP-R8JB-I7IT
support material of https://rdf.ng-london.org.uk/raphael/resource/M.1972.2.P,51VS-YYAC-WUJX-315A
https://rdf.ng-london.org.uk/raphael/resource/MNdAA568,ETVC-80QU-3CBG-LWXT
acquisition of https://rdf.ng-london.org.uk/raphael/resource/MNdAA568,JR2Q-0IZO-WOEX-TEMI
height of https://rdf.ng-london.org.uk/raphael/resource/MNdAA568,6IOP-F6BR-1F0I-GVGQ
support material of https://rdf.ng-london.org.uk/raphael/resource/MNdAA568,3JPM-176D-JTGT-L2KR
width of https://rdf.ng-london.org.uk/raphael/resource/MNdAA568,Q1YH-IV1A-J0VK-YNI4
title of https://rdf.ng-london.org.uk/raphael/resource/MNdAA568,J4JV-XF73-W8OH-Y6PD
short title of https://rdf.ng-london.org.uk/raphael/resource/MNdAA568,5OBL-LRG7-4J04-GW3R
production of https://rdf.ng-london.org.uk/raphael/resource/MNdAA568,022B-47SZ-E6OP-538G
medium of https://rdf.ng-london.org.uk/raphael/resource/MNdAA568,DZIT-TBKB-HCTB-PW5P
https://rdf.ng-london.org.uk/raphael/resource/RRR_17.1958,HS7G-OKLV-MI7U-U47J
short title of https://rdf.ng-london.org.uk/raphael/resource/RRR_17.1958,WPGI-VDXD-TX4W-5NA0
production of https://rdf.ng-london.org.uk/raphael/resource/RRR_17.1958,98OE-OJUA-RKVF-J5RJ
title of https://rdf.ng-london.org.uk/raphael/resource/RRR_17.1958,JXZP-UR3Y-2857-QUIC
height of https://rdf.ng-london.org.uk/raphael/resource/RRR_17.1958,VH7V-1FC3-GF5L-G5R5
support material of https://rdf.ng-london.org.uk/raphael/resource/RRR_17.1958,VJR0-ZNVF-BJHC-AEB1
acquisition of https://rdf.ng-london.org.uk/raphael/resource/RRR_17.1958,0FVO-TY69-5NTX-K1KP
width of https://rdf.ng-london.org.uk/raphael/resource/RRR_17.1958,PHSA-TMEE-QA70-27A8
medium of https://rdf.ng-london.org.uk/raphael/resource/RRR_17.1958,LBU6-BJHA-D48Z-LWDX
https://rdf.ng-london.org.uk/raphael/resource/G.65.21.1,JY5N-ORVX-IVY7-5EI0
support material of https://rdf.ng-london.org.uk/raphael/resource/G.65.21.1,3IJX-OYYG-2EW5-8V2X
medium of https://rdf.ng-london.org.uk/raphael/resource/G.65.21.1,B7AO-89PO-KKAK-G56U
height of https://rdf.ng-london.org.uk/raphael/resource/G.65.21.1,ZHKD-28OS-3JVZ-9W3Z
production of https://rdf.ng-london.org.uk/raphael/resource/G.65.21.1,FXFL-55N8-JX0S-NNEN
acquisition of https://rdf.ng-london.org.uk/raphael/resource/G.65.21.1,DE1F-R3J3-B758-NG1E
short title of https://rdf.ng-london.org.uk/raphael/resource/G.65.21.1,QNGD-32XE-EB3I-GN8T
title of https://rdf.ng-london.org.uk/raphael/resource/G.65.21.1,16XJ-8EKE-E5OV-TCIA
width of https://rdf.ng-london.org.uk/raphael/resource/G.65.21.1,5BGF-835R-HWLF-7GS0
https://rdf.ng-london.org.uk/raphael/resource/RRR_1937.1.26,1JUO-5TV4-50GW-O1IE
short title of https://rdf.ng-london.org.uk/raphael/resource/RRR_1937.1.26,0QPY-AQOM-50WZ-X7RA
medium of https://rdf.ng-london.org.uk/raphael/resource/RRR_1937.1.26,DN6Y-XR43-6RHT-4U6J
width of https://rdf.ng-london.org.uk/raphael/resource/RRR_1937.1.26,S9IN-RV74-160M-6LXZ
title of https://rdf.ng-london.org.uk/raphael/resource/RRR_1937.1.26,G1TQ-S6OH-CS2H-ET0M
acquisition of https://rdf.ng-london.org.uk/raphael/resource/RRR_1937.1.26,BRKF-26FW-3AHL-GK65
height of https://rdf.ng-london.org.uk/raphael/resource/RRR_1937.1.26,IY98-8OA8-8XEV-ZMA2
