Subject	Predicate	Object
ngo:54RC-O42D-D7V1-FMGF	crm:P108i_was_produced_by	ngo:8NPG-IBO9-1MXJ-9LHR
Nf6fd3533238c42969f83722d8afaee7e	crm:P90_has_value	2648839
aat:300266022	rdfs:label	PDF
ngo:Y9EW-3LA6-2FMU-MRA2	crm:P2_has_type	crm:E16_Measurement
N29e09dafe9e6410daa552307ba4758a1	rdf:type	crm:E39_Actor
ngo:OLMD-QFTD-B3AJ-K8U7	rdfs:label	Infrared Photography of NG213
N6fc887718b5b4e74828cd078bf77e26d	rdf:type	crm:E65_Creation
aat:300265863	rdfs:label	size for computer files
Ne81dbd987aca413389ef74574b91ff4d	crm:P82b_end_of_the_end	2005-12-31T00:00:00
aat:300265869	rdfs:label	bytes
ngo:AYRO-6FZX-SUBA-G90J	rdfs:label	The National Gallery Database
Nffaa904c5ca1446d8bf93f71cd93f9cb	rdfs:label	Rapha�l au Mus�e Cond�: quelques resultats d�un examen sous l�angle du laboratoire�
ngo:RCGP-H2VH-JHQU-SGRJ	rdf:type	crm:E90_Symbolic_Object
ngo:TPCT-LZC5-FXG4-23SD	rdfs:label	Infrared Photography of PE40
ngo:Y9EW-3LA6-2FMU-MRA2	crm:P2_has_type	aat:300379861
Ne81dbd987aca413389ef74574b91ff4d	rdf:type	crm:E52_Time_span
ngo:54RC-O42D-D7V1-FMGF	crm:P108i_was_produced_by	ngo:Y9EW-3LA6-2FMU-MRA2
